Start Date,End Date,Data Year,District Name,Campus Number,Campus Name,County Name,Zip Code,Latitude,Longitude,Number of Graduates,Total in Class,Percent of Graduates,New Georeferenced Column
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,HARMONY SCIENCE ACADEMY (AUSTIN),227816005,HARMONY SCHOOL OF INNOVATION - AUSTIN,Travis,78744,30.209965,-97.745338,38,38,1,POINT (-97.745338 30.209965)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901019,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,Travis,78721,30.258072,-97.681447,121,129,0.94,POINT (-97.681447 30.258072)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,LEANDER ISD,246913005,VANDEGRIFT H S,Travis,78750,30.397842,-97.823868,534,541,0.99,POINT (-97.823868 30.397842)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AMERICAN YOUTHWORKS CHARTER SCHOOL,227801002,AMERICAN YOUTHWORKS SERVICE LEARNING ACADE,Travis,78741,30.215462,-97.746293,14,16,0.88,POINT (-97.746293 30.215462)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901009,ANDERSON H S,Travis,78759,30.375537,-97.752726,477,485,0.98,POINT (-97.752726 30.375537000000005)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,Travis,78704,30.23624,-97.788473,47,47,1,POINT (-97.78847300000001 30.236240000000002)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901002,AUSTIN H S,Travis,78703,30.273808,-97.768344,477,490,0.97,POINT (-97.768344 30.273808)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901008,CROCKETT H S,Travis,78745,30.213335,-97.796691,285,295,0.97,POINT (-97.796691 30.213335000000004)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,KIPP AUSTIN PUBLIC SCHOOLS INC,227820001,KIPP AUSTIN COLLEGIATE,Travis,78724,30.27134,-97.63744,531,534,0.99,POINT (-97.63744 30.27134)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901014,LBJ HIGH SCHOOL,Travis,78724,30.31356,-97.656688,178,189,0.94,POINT (-97.656688 30.313559999999995)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,HARMONY SCIENCE ACADEMY (AUSTIN),227816101,HARMONY SCHOOL OF EXCELLENCE,Travis,78744,30.2105,-97.7467,58,62,0.94,POINT (-97.7467 30.210500000000003)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901015,GARZA INDEPENDENCE H S,Travis,78702,30.277653,-97.721094,120,133,0.9,POINT (-97.721094 30.277653)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,PREMIER HIGH SCHOOLS,72801128,PREMIER H S OF NORTH AUSTIN,Denton,75029,30.437826,-97.697061,640,647,0.99,POINT (-97.697061 30.437826)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AMERICAN YOUTHWORKS CHARTER SCHOOL,227801002,AMERICAN YOUTHWORKS SERVICE LEARNING ACADE,Travis,78741,30.215462,-97.746293,20,21,0.95,POINT (-97.746293 30.215462)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,LEANDER ISD,246913005,VANDEGRIFT H S,Travis,78750,30.397842,-97.823868,54,54,1,POINT (-97.823868 30.397842)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901005,MCCALLUM H S,Travis,78756,30.325204,-97.731062,347,357,0.97,POINT (-97.731062 30.325204000000003)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,PREMIER HIGH SCHOOLS,072801113,PREMIER H S OF AUSTIN,Denton,75029,30.227119,-97.783104,38,38,1,POINT (-97.783104 30.227119)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901013,BOWIE H S,Travis,78749,30.197459,-97.8581,659,666,0.99,POINT (-97.85810000000001 30.197459000000002)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901007,TRAVIS H S,Travis,78704,30.233014,-97.744185,248,262,0.95,POINT (-97.744185 30.233014)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901008,CROCKETT H S,Travis,78745,30.213335,-97.796691,332,346,0.96,POINT (-97.796691 30.213335000000004)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,NYOS CHARTER SCHOOL,227804101,NYOS CHARTER SCHOOL,Travis,78753,30.40214,-97.67848,408,423,0.97,POINT (-97.67848 30.40214)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901018,LASA H S,Travis,78724,30.313614,-97.656741,250,250,1,POINT (-97.656741 30.313614)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,NYOS CHARTER SCHOOL,227804101,NYOS CHARTER SCHOOL,Travis,78753,30.40214,-97.67848,55,55,1,POINT (-97.67848 30.40214)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901017,AKINS H S,Travis,78748,30.148674,-97.801586,510,532,0.96,POINT (-97.801586 30.148674)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901002,AUSTIN H S,Travis,78703,30.273808,-97.768344,446,460,0.97,POINT (-97.768344 30.273808)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901251,ROSEDALE,Travis,78756,30.31988,-97.74023,58,62,0.94,POINT (-97.74023 30.31988)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901006,REAGAN H S,Travis,78752,30.322488,-97.689839,239,242,0.99,POINT (-97.689839 30.322488)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,ROUND ROCK ISD,246909003,WESTWOOD H S,Travis,78750,30.4558,-97.79778,629,647,1,POINT (-97.79778000000002 30.455800000000004)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901026,PREMIER H S AT LANIER,Travis,78758,30.3613,-97.70761,29,37,0.78,POINT (-97.70761 30.3613)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901002,AUSTIN H S,Travis,78703,30.273808,-97.768344,447,457,0.98,POINT (-97.768344 30.273808)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901017,AKINS H S,Travis,78748,30.148674,-97.801586,558,576,0.97,POINT (-97.801586 30.148674)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901015,GARZA INDEPENDENCE H S,Travis,78702,30.277653,-97.721094,108,113,0.96,POINT (-97.721094 30.277653)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,KIPP AUSTIN PUBLIC SCHOOLS INC,227820001,KIPP AUSTIN COLLEGIATE,Travis,78724,30.27134,-97.63744,88,91,0.97,POINT (-97.63744 30.27134)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901025,PREMIER H S AT TRAVIS,Travis,78704,30.226379,-97.783661,27,47,0.57,POINT (-97.783661 30.226379000000005)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,ROUND ROCK ISD,246909003,WESTWOOD H S,Travis,78750,30.4558,-97.79778,170,245,0.69,POINT (-97.79778000000002 30.455800000000004)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901008,CROCKETT H S,Travis,78745,30.213335,-97.796691,306,312,0.98,POINT (-97.796691 30.213335000000004)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AMERICAN YOUTHWORKS CHARTER SCHOOL,227801002,AMERICAN YOUTHWORKS SERVICE LEARNING ACADE,Travis,78741,30.215462,-97.746293,16,19,0.84,POINT (-97.746293 30.215462)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901025,PREMIER H S AT TRAVIS,Travis,78704,30.226379,-97.783661,43,48,0.9,POINT (-97.783661 30.226379000000005)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,PREMIER HIGH SCHOOLS,072801128,PREMIER H S OF NORTH AUSTIN,Denton,75029,30.437826,-97.697061,24,24,1,POINT (-97.697061 30.437826)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901026,PREMIER H S AT LANIER,Travis,78758,30.3613,-97.70761,50,57,0.88,POINT (-97.70761 30.3613)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901013,BOWIE H S,Travis,78749,30.197459,-97.8581,643,648,0.99,POINT (-97.85810000000001 30.197459000000002)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901018,LASA H S,Travis,78724,30.313614,-97.656741,256,257,1,POINT (-97.656741 30.313614)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,HARMONY SCIENCE ACADEMY (AUSTIN),227816005,HARMONY SCHOOL OF INNOVATION - AUSTIN,Travis,78744,30.209965,-97.745338,47,47,1,POINT (-97.745338 30.209965)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901007,TRAVIS H S,Travis,78704,30.233014,-97.744185,231,240,0.96,POINT (-97.744185 30.233014)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901026,PREMIER H S AT LANIER,Travis,78758,30.3613,-97.70761,14,22,0.64,POINT (-97.70761 30.3613)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,PFLUGERVILLE ISD,227904003,JOHN B CONNALLY H S,Travis,78753,30.41867,-97.67651,45,46,0.98,POINT (-97.67651 30.41867)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,Travis,78704,30.23624,-97.788473,93,93,1,POINT (-97.78847300000001 30.236240000000002)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901006,REAGAN H S,Travis,78752,30.322488,-97.689839,232,233,1,POINT (-97.689839 30.322488)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,HARMONY SCIENCE ACADEMY (AUSTIN),227816101,HARMONY SCHOOL OF EXCELLENCE,Travis,78744,30.2105,-97.7467,38,38,1,POINT (-97.7467 30.210500000000003)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,PFLUGERVILLE ISD,227904003,JOHN B CONNALLY H S,Travis,78753,30.41867,-97.67651,406,416,0.98,POINT (-97.67651 30.41867)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,PREMIER HIGH SCHOOLS,072801128,PREMIER H S OF NORTH AUSTIN,Denton,75029,30.437826,-97.697061,32,36,0.89,POINT (-97.697061 30.437826)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901019,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,Travis,78721,30.258072,-97.681447,104,111,0.94,POINT (-97.681447 30.258072)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901004,LANIER H S,Travis,78758,29.42146,-98.514977,280,286,0.98,POINT (-98.514977 29.42146)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,TEXANS CAN ACADEMIES,57804006,AUSTIN CAN ACADEMY,Dallas,75208,30.27246,-97.709,,,,POINT (-97.709 30.272460000000002)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901014,LBJ HIGH SCHOOL,Travis,78724,30.31356,-97.656688,151,162,0.93,POINT (-97.656688 30.313559999999995)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,LEANDER ISD,246913005,VANDEGRIFT H S,Travis,78750,30.397842,-97.823868,471,471,1,POINT (-97.823868 30.397842)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901019,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,Travis,78721,30.258072,-97.681447,136,144,0.94,POINT (-97.681447 30.258072)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,PFLUGERVILLE ISD,227904003,JOHN B CONNALLY H S,Travis,78753,30.41867,-97.67651,421,423,1,POINT (-97.67651 30.41867)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901004,LANIER H S,Travis,78758,29.42146,-98.514977,289,303,0.95,POINT (-98.514977 29.42146)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901005,MCCALLUM H S,Travis,78756,30.325204,-97.731062,363,372,0.98,POINT (-97.731062 30.325204000000003)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,HARMONY SCIENCE ACADEMY (AUSTIN),227816101,HARMONY SCHOOL OF EXCELLENCE,Travis,78744,30.2105,-97.7467,47,47,1,POINT (-97.7467 30.210500000000003)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901005,MCCALLUM H S,Travis,78756,30.325204,-97.731062,399,414,0.96,POINT (-97.731062 30.325204000000003)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,PREMIER HIGH SCHOOLS,72801113,PREMIER H S OF AUSTIN,Denton,75029,30.227119,-97.783104,29,29,1,POINT (-97.783104 30.227119)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901007,TRAVIS H S,Travis,78704,30.233014,-97.744185,197,214,0.92,POINT (-97.744185 30.233014)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,NYOS CHARTER SCHOOL,227804101,NYOS CHARTER SCHOOL,Travis,78753,30.40214,-97.67848,51,51,1,POINT (-97.67848 30.40214)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901004,LANIER H S,Travis,78758,29.42146,-98.514977,260,271,0.96,POINT (-98.514977 29.42146)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901013,BOWIE H S,Travis,78749,30.197459,-97.8581,655,662,0.99,POINT (-97.85810000000001 30.197459000000002)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901014,LBJ HIGH SCHOOL,Travis,78724,30.31356,-97.656688,165,162,0.93,POINT (-97.656688 30.313559999999995)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,Travis,78704,30.23624,-97.788473,89,89,1,POINT (-97.78847300000001 30.236240000000002)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901009,ANDERSON H S,Travis,78759,30.375537,-97.752726,520,528,0.99,POINT (-97.752726 30.375537000000005)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901017,AKINS H S,Travis,78748,30.148674,-97.801586,533,560,0.95,POINT (-97.801586 30.148674)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901251,ROSEDALE,Travis,78756,30.31988,-97.74023,6,6,1,POINT (-97.74023 30.31988)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,ROUND ROCK ISD,246909003,WESTWOOD H S,Travis,78750,30.4558,-97.79778,634,636,0.99,POINT (-97.79778000000002 30.455800000000004)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,HARMONY SCIENCE ACADEMY (AUSTIN),227816005,HARMONY SCHOOL OF INNOVATION - AUSTIN,Travis,78744,30.209965,-97.745338,142,149,0.95,POINT (-97.745338 30.209965)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901251,ROSEDALE,Travis,78756,30.31988,-97.74023,11,11,1,POINT (-97.74023 30.31988)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,TEXANS CAN ACADEMIES,057804006,AUSTIN CAN ACADEMY,Dallas,75208,30.27246,-97.709,222,258,0.86,POINT (-97.709 30.272460000000002)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,AUSTIN ISD,227901018,LASA H S,Travis,78724,30.313614,-97.656741,245,245,1,POINT (-97.656741 30.313614)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,PREMIER HIGH SCHOOLS,072801113,PREMIER H S OF AUSTIN,Denton,75029,30.227119,-97.783104,41,45,0.91,POINT (-97.783104 30.227119)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901015,GARZA INDEPENDENCE H S,Travis,78702,30.277653,-97.721094,104,118,0.88,POINT (-97.721094 30.277653)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,AUSTIN ISD,227901009,ANDERSON H S,Travis,78759,30.375537,-97.752726,539,549,0.98,POINT (-97.752726 30.375537000000005)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901025,PREMIER H S AT TRAVIS,Travis,78704,30.226379,-97.783661,55,68,0.8,POINT (-97.783661 30.226379000000005)
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,2018,AUSTIN ISD,227901006,REAGAN H S,Travis,78752,30.322488,-97.689839,220,222,0.99,POINT (-97.689839 30.322488)
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,2016,TEXANS CAN ACADEMIES,057804006,AUSTIN CAN ACADEMY,Dallas,75208,30.27246,-97.709,,,,POINT (-97.709 30.272460000000002)
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,KIPP AUSTIN PUBLIC SCHOOLS INC,227820001,KIPP AUSTIN COLLEGIATE,Travis,78724,30.27134,-97.63744,135,141,0.96,POINT (-97.63744 30.27134)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901017,AKINS H S,Travis,78748,30.148674,-97.801586,,,0.96,POINT (-97.801586 30.148674)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901002,AUSTIN H S,Travis,78703,30.273808,-97.768344,,,0.99,POINT (-97.768344 30.273808)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901019,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,Travis,78721,30.258072,-97.681447,,,0.93,POINT (-97.681447 30.258072)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901014,LBJ HIGH SCHOOL,Travis,78724,30.31356,-97.656688,,,0.91,POINT (-97.656688 30.313559999999995)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901007,TRAVIS H S,Travis,78704,30.233014,-97.744185,,,0.94,POINT (-97.744185 30.233014)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901014,LBJ HIGH SCHOOL,Travis,78724,30.31356,-97.656688,,,0.91,POINT (-97.656688 30.313559999999995)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,HARMONY SCIENCE ACADEMY (AUSTIN),227816101,HARMONY SCHOOL OF EXCELLENCE,Travis,78744,30.2105,-97.7467,,,0.95,POINT (-97.7467 30.210500000000003)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901004,LANIER H S,Travis,78758,29.42146,-98.514977,,299,0.97,POINT (-98.514977 29.42146)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,NYOS CHARTER SCHOOL,227804101,NYOS CHARTER SCHOOL,Travis,78753,30.40214,-97.67848,,,0.94,POINT (-97.67848 30.40214)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901017,AKINS H S,Travis,78748,30.148674,-97.801586,,,0.97,POINT (-97.801586 30.148674)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901013,BOWIE H S,Travis,78749,30.197459,-97.8581,,,0.98,POINT (-97.85810000000001 30.197459000000002)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,NYOS CHARTER SCHOOL,227804101,NYOS CHARTER SCHOOL,Travis,78753,30.40214,-97.67848,,,0.94,POINT (-97.67848 30.40214)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901004,LANIER H S,Travis,78758,29.42146,-98.514977,,299,0.97,POINT (-98.514977 29.42146)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,Travis,78704,30.23624,-97.788473,91,91,1,POINT (-97.78847300000001 30.236240000000002)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901008,CROCKETT H S,Travis,78745,30.213335,-97.796691,,299,0.97,POINT (-97.796691 30.213335000000004)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901015,GARZA INDEPENDENCE H S,Travis,78702,30.277653,-97.721094,42,115,0.37,POINT (-97.721094 30.277653)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901009,ANDERSON H S,Travis,78759,30.375537,-97.752726,,499,0.98,POINT (-97.752726 30.375537000000005)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,Travis,78704,30.23624,-97.788473,91,91,1,POINT (-97.78847300000001 30.236240000000002)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901251,ROSEDALE,Travis,78756,30.31988,-97.74023,0,33,0,POINT (-97.74023 30.31988)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,PFLUGERVILLE ISD,227904003,JOHN B CONNALLY H S,Travis,78753,30.41867,-97.67651,,,0.97,POINT (-97.67651 30.41867)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901018,LASA H S,Travis,78724,30.313614,-97.656741,246,246,1,POINT (-97.656741 30.313614)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901005,MCCALLUM H S,Travis,78756,30.325204,-97.731062,,,0.97,POINT (-97.731062 30.325204000000003)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901015,GARZA INDEPENDENCE H S,Travis,78702,30.277653,-97.721094,42,123,0.34,POINT (-97.721094 30.277653)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901013,BOWIE H S,Travis,78749,30.197459,-97.8581,,,0.99,POINT (-97.85810000000001 30.197459000000002)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901009,ANDERSON H S,Travis,78759,30.375537,-97.752726,,499,0.98,POINT (-97.752726 30.375537000000005)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901251,ROSEDALE,Travis,78756,30.31988,-97.74023,0,13,0,POINT (-97.74023 30.31988)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,KIPP AUSTIN PUBLIC SCHOOLS INC,227820001,KIPP AUSTIN COLLEGIATE,Travis,78724,30.27134,-97.63744,,199,0.97,POINT (-97.63744 30.27134)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,PFLUGERVILLE ISD,227904003,JOHN B CONNALLY H S,Travis,78753,30.41867,-97.67651,,,0.97,POINT (-97.67651 30.41867)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901006,REAGAN H S,Travis,78752,30.322488,-97.689839,,249,0.99,POINT (-97.689839 30.322488)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901019,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,Travis,78721,30.258072,-97.681447,,149,0.93,POINT (-97.681447 30.258072)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901005,MCCALLUM H S,Travis,78756,30.325204,-97.731062,,,0.97,POINT (-97.731062 30.325204000000003)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901018,LASA H S,Travis,78724,30.313614,-97.656741,246,246,1,POINT (-97.656741 30.313614)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901008,CROCKETT H S,Travis,78745,30.213335,-97.796691,,299,0.97,POINT (-97.796691 30.213335000000004)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901007,TRAVIS H S,Travis,78704,30.233014,-97.744185,,,0.93,POINT (-97.744185 30.233014)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901006,REAGAN H S,Travis,78752,30.322488,-97.689839,,249,0.99,POINT (-97.689839 30.322488)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,KIPP AUSTIN PUBLIC SCHOOLS INC,227820001,KIPP AUSTIN COLLEGIATE,Travis,78724,30.27134,-97.63744,,199,0.97,POINT (-97.63744 30.27134)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,AUSTIN ISD,227901002,AUSTIN H S,Travis,78703,30.273808,-97.768344,,,0.98,POINT (-97.768344 30.273808)
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,2019,HARMONY SCIENCE ACADEMY (AUSTIN),227816101,HARMONY SCHOOL OF EXCELLENCE,Travis,78744,30.2105,-97.7467,,,0.95,POINT (-97.7467 30.210500000000003)
